,DÁTUM,Halottak kora
0,2021-03-30 00:00:00,"[75, 75, 70, 85, 85, 75, 90, 60, 80, 70, 85, 80, 75, 100, 70, 90, 75, 75, 60, 70, 85, 85, 95, 90, 80, 80, 90, 90, 85, 85, 75, 85, 100, 80, 80, 65, 85, 80, 75, 70, 85, 80, 90, 90, 80, 65, 80, 80, 70, 85, 70, 75, 80, 80, 85, 95, 80, 60, 85, 80, 70, 75, 90, 60, 75, 70, 75, 80, 75, 70, 80, 70, 70, 85, 75, 75, 80, 60, 75, 70, 80, 70, 85, 75, 60, 55, 80, 90, 80, 60, 85, 75, 75, 85, 65, 75, 75, 80, 85, 75, 80, 85, 75, 75, 65, 65, 80, 90, 80, 60, 80, 80, 85, 80, 75, 80, 80, 80, 70, 95, 65, 75, 70, 90, 85, 70, 90, 80, 80, 70, 50, 80, 55, 65, 90, 90, 75, 95, 70, 85, 80, 75, 85, 60, 95, 90, 70, 75, 75, 100, 65, 65, 70, 80, 80, 60, 90, 70, 80, 75, 80, 80, 60, 60, 75, 75, 80, 65, 70, 75, 85, 75, 75, 70, 35, 75, 75, 75, 80, 45, 90, 60, 75, 85, 75, 90, 70, 85, 80, 60, 55, 75, 90, 80, 70, 60, 80, 75, 70, 85, 40, 70, 65, 80, 65, 85, 75, 30, 45, 65, 80, 70, 90, 75, 65, 65, 80, 70, 30, 70, 70, 80, 95, 85, 95, 65, 75, 55, 95, 65, 70, 80, 60, 60, 85, 70, 55, 80, 65, 75, 80, 65, 60, 60, 55, 55, 85, 60, 100, 75, 65, 90, 50, 75, 75, 85, 60, 65, 80, 75, 70, 65, 95, 80, 65, 65, 85, 60, 85, 70, 90, 65, 90, 80]"
1,2021-03-29 00:00:00,"[75, 80, 70, 90, 90, 80, 90, 65, 45, 55, 90, 75, 75, 90, 75, 65, 65, 80, 85, 80, 85, 45, 75, 80, 70, 65, 45, 80, 80, 80, 65, 85, 80, 85, 70, 85, 70, 85, 85, 85, 80, 65, 70, 80, 70, 70, 65, 75, 65, 80, 65, 85, 80, 70, 85, 80, 75, 90, 60, 90, 90, 70, 80, 70, 85, 80, 75, 95, 75, 85, 75, 85, 80, 70, 80, 75, 70, 80, 70, 60, 75, 90, 65, 70, 75, 70, 45, 65, 35, 70, 85, 75, 65, 75, 50, 85, 80, 75, 70, 80, 60, 65, 65, 70, 90, 70, 75, 65, 75, 80, 95, 80, 90, 90, 45, 40, 80, 80, 65, 75, 90, 65, 75, 60, 75, 95, 85, 60, 85, 60, 60, 60, 75, 80, 70, 75, 60, 75, 55, 65, 85, 40, 75, 70, 80, 75, 70, 75, 55, 70, 55, 70, 85, 75, 75, 70, 55, 65, 65, 60, 60, 75, 75, 70, 80, 70, 55, 95, 50, 70, 55, 55, 70, 75, 65, 50, 70, 80, 80, 65, 75, 65, 75, 90, 80, 55, 55, 65, 75]"
2,2021-03-28 00:00:00,"[95, 65, 90, 75, 90, 80, 75, 75, 75, 75, 80, 95, 65, 85, 75, 95, 85, 80, 75, 45, 60, 65, 80, 55, 85, 60, 75, 70, 50, 75, 80, 95, 90, 65, 75, 90, 95, 75, 75, 95, 70, 80, 95, 80, 70, 75, 90, 90, 95, 75, 75, 80, 70, 80, 55, 85, 70, 100, 90, 70, 75, 70, 75, 90, 80, 85, 80, 85, 80, 65, 75, 50, 75, 85, 80, 80, 75, 80, 85, 95, 85, 85, 75, 85, 90, 70, 80, 75, 85, 80, 90, 85, 75, 75, 80, 70, 90, 70, 75, 80, 65, 50, 85, 75, 80, 70, 65, 70, 85, 95, 65, 100, 90, 60, 80, 35, 75, 70, 90, 35, 70, 55, 65, 80, 70, 75, 75, 90, 55, 75, 80, 55, 70, 45, 90, 75, 65, 75, 85, 85, 80, 80, 85, 75, 70, 85, 65, 65, 70, 85, 70, 85, 85, 45, 65, 75, 65, 55, 85, 70, 85, 90, 70, 70, 70, 60, 60, 90, 70, 85, 60, 75, 70, 90, 75, 85, 70, 80, 75, 85, 70, 70, 75, 75, 90, 80, 65, 40, 50, 60, 75, 65, 85, 55, 80, 70, 65, 60, 80, 75, 65, 90, 50, 80, 65, 85, 65, 95, 65, 55, 85, 75, 95, 45, 70, 60, 70, 45, 80, 80]"
3,2021-03-27 00:00:00,"[100, 90, 95, 65, 55, 65, 80, 65, 80, 80, 70, 90, 75, 80, 60, 75, 65, 45, 75, 75, 45, 75, 75, 85, 65, 70, 90, 85, 85, 90, 45, 70, 55, 85, 85, 70, 90, 70, 85, 75, 85, 60, 80, 85, 45, 75, 70, 80, 75, 85, 95, 70, 50, 60, 65, 75, 75, 60, 65, 85, 70, 85, 90, 60, 75, 70, 70, 100, 80, 90, 75, 70, 85, 75, 65, 85, 80, 90, 65, 70, 85, 70, 70, 65, 75, 90, 85, 75, 80, 70, 70, 80, 60, 70, 90, 85, 55, 85, 85, 75, 70, 75, 80, 80, 90, 55, 90, 95, 65, 85, 85, 60, 70, 80, 65, 60, 80, 65, 75, 80, 80, 75, 50, 70, 70, 85, 70, 90, 85, 60, 70, 50, 85, 70, 80, 75, 65, 85, 75, 60, 85, 95, 85, 70, 80, 65, 40, 80, 80, 70, 75, 80, 55, 80, 55, 75, 70, 75, 85, 50, 80, 50, 85, 60, 80, 75, 60, 95, 90, 75, 65, 70, 65, 65, 70, 60, 85, 75, 65, 75, 75, 55, 80, 80, 50, 70, 90, 85, 90, 50, 75, 70, 65, 60, 85, 70, 55, 85, 75, 75, 50, 70, 65, 70, 80, 65, 90, 55, 70, 75, 70, 70, 65, 75, 90, 70, 80, 50, 60, 85, 75, 80, 75, 80, 60, 75, 65, 55, 65, 70, 70, 95, 65, 65, 50, 70, 40, 65, 65, 85, 60, 80, 90, 70, 65, 65, 75, 75, 60, 90, 60, 85, 80]"
4,2021-03-26 00:00:00,"[75, 75, 70, 85, 80, 80, 85, 50, 85, 70, 70, 90, 70, 95, 70, 90, 85, 75, 65, 75, 80, 60, 75, 40, 75, 80, 80, 70, 65, 70, 80, 70, 70, 50, 80, 90, 70, 80, 80, 85, 80, 70, 80, 80, 70, 55, 65, 75, 60, 85, 80, 80, 75, 80, 95, 65, 75, 85, 75, 80, 85, 70, 70, 45, 55, 90, 75, 70, 90, 65, 75, 85, 80, 90, 90, 70, 75, 90, 80, 80, 75, 70, 70, 75, 70, 60, 85, 80, 85, 80, 85, 95, 70, 70, 85, 95, 75, 90, 85, 70, 75, 70, 80, 60, 85, 90, 85, 90, 70, 75, 65, 85, 85, 95, 80, 90, 75, 90, 65, 75, 80, 75, 65, 50, 70, 90, 95, 85, 85, 80, 75, 80, 75, 80, 75, 75, 60, 85, 80, 85, 75, 60, 70, 85, 65, 80, 70, 70, 55, 40, 65, 80, 90, 85, 95, 90, 55, 55, 65, 75, 80, 80, 55, 80, 85, 90, 90, 90, 65, 60, 70, 90, 30, 75, 80, 60, 75, 85, 75, 50, 85, 60, 85, 40, 35, 100, 75, 70, 75, 80, 85, 55, 85, 85, 95, 75, 85, 80, 55, 90, 75, 70, 65, 65, 70, 70, 75, 70, 65, 95, 55, 50, 70, 70, 70, 70, 50, 95, 80, 90, 90, 70, 55, 55, 65, 75, 70, 85, 70, 75, 70, 80, 70, 70, 75, 75, 60, 55, 70, 55, 65, 75, 65, 65, 45, 75, 55, 70, 80, 85, 80, 60, 90, 75, 70, 90, 60, 80, 85, 60, 85, 75, 50, 70, 80, 75, 80, 75, 85, 65, 95, 50, 85, 85, 70]"
5,2021-03-25 00:00:00,"[85, 75, 65, 95, 70, 85, 80, 85, 80, 95, 85, 95, 65, 85, 65, 85, 40, 85, 75, 80, 80, 65, 75, 80, 60, 80, 80, 75, 30, 80, 75, 80, 100, 85, 75, 75, 80, 90, 80, 95, 90, 85, 90, 90, 95, 95, 85, 80, 70, 90, 50, 70, 85, 65, 55, 80, 80, 90, 60, 80, 85, 85, 65, 45, 95, 65, 65, 80, 75, 85, 70, 80, 60, 80, 65, 75, 70, 70, 75, 80, 60, 80, 85, 80, 70, 85, 55, 40, 60, 35, 75, 85, 85, 80, 70, 80, 90, 75, 95, 90, 90, 85, 65, 70, 80, 80, 90, 85, 80, 85, 65, 85, 50, 70, 80, 45, 75, 60, 85, 60, 85, 90, 80, 55, 75, 95, 65, 95, 80, 75, 80, 75, 85, 75, 80, 90, 90, 70, 80, 60, 90, 45, 75, 90, 70, 70, 75, 50, 80, 75, 85, 95, 50, 80, 100, 60, 95, 80, 75, 80, 80, 75, 80, 70, 70, 80, 65, 55, 75, 70, 80, 45, 75, 85, 60, 50, 90, 80, 75, 75, 65, 70, 90, 55, 30, 75, 65, 85, 55, 55, 70, 40, 60, 45, 65, 80, 80, 70, 60, 80, 65, 80, 60, 55, 70, 65, 85, 60, 80, 65, 75, 95, 60, 85, 65, 75, 70, 50, 85, 75, 80, 70, 85, 80, 60, 70, 60, 65, 75, 70, 70, 75, 45, 80, 85, 90, 55, 70, 70, 50, 80, 65, 70, 85, 70, 70, 80, 100, 85, 80, 70, 85, 50, 75, 80, 45, 75, 80, 55, 95, 75, 80, 85, 70, 40, 90, 55, 90, 85, 90, 85, 100]"
6,2021-03-24 00:00:00,"[75, 80, 90, 80, 80, 80, 75, 80, 75, 45, 75, 70, 70, 80, 95, 70, 65, 75, 75, 70, 65, 90, 80, 65, 80, 85, 80, 55, 85, 85, 65, 90, 80, 90, 55, 80, 75, 80, 80, 75, 75, 95, 70, 80, 90, 65, 70, 95, 80, 65, 65, 85, 95, 75, 80, 80, 75, 90, 70, 90, 75, 40, 75, 85, 65, 75, 80, 70, 100, 80, 75, 60, 30, 70, 85, 90, 70, 75, 75, 75, 90, 75, 80, 75, 65, 85, 75, 95, 70, 85, 90, 80, 85, 65, 45, 75, 90, 65, 75, 75, 40, 75, 75, 70, 65, 75, 90, 70, 85, 85, 70, 85, 70, 85, 65, 75, 90, 75, 95, 80, 50, 70, 75, 75, 75, 80, 90, 90, 80, 70, 95, 55, 60, 65, 75, 80, 100, 70, 55, 65, 85, 85, 80, 80, 85, 55, 55, 85, 75, 65, 80, 65, 75, 90, 55, 90, 80, 95, 70, 65, 70, 75, 80, 80, 65, 85, 60, 70, 90, 70, 80, 80, 65, 70, 75, 80, 70, 80, 85, 65, 80, 85, 75, 85, 70, 65, 95, 60, 75, 50, 45, 80, 85, 75, 55, 75, 65, 75, 95, 50, 60, 85, 80, 75, 75, 80, 75, 90, 90, 80, 75, 55, 65, 70, 55, 100, 80, 65, 65, 70, 80, 60, 70, 60, 50, 85, 70, 95, 60, 65, 80, 55, 70, 70, 70, 80, 85, 75, 70, 85, 60, 95, 85, 70, 80, 75, 60, 95, 75]"
7,2021-03-23 00:00:00,"[80, 60, 95, 60, 80, 65, 70, 80, 80, 65, 95, 70, 50, 70, 65, 75, 85, 65, 80, 80, 70, 85, 75, 35, 70, 80, 85, 70, 75, 90, 55, 70, 90, 85, 75, 65, 75, 80, 85, 95, 70, 80, 90, 75, 80, 95, 85, 85, 80, 85, 95, 90, 60, 100, 70, 80, 85, 85, 75, 90, 90, 80, 75, 85, 70, 80, 85, 90, 70, 75, 75, 75, 60, 90, 85, 75, 80, 70, 95, 65, 90, 90, 85, 75, 80, 75, 95, 85, 75, 80, 95, 70, 80, 65, 90, 60, 95, 80, 75, 80, 65, 80, 80, 55, 80, 75, 80, 85, 50, 85, 75, 85, 70, 85, 85, 60, 70, 85, 55, 85, 70, 85, 70, 75, 90, 90, 75, 90, 75, 95, 75, 60, 85, 85, 75, 85, 75, 80, 75, 75, 90, 90, 95, 75, 80, 80, 80, 70, 40, 75, 80, 70, 85, 55, 80, 80, 70, 80, 80, 100, 85, 95, 25, 85, 50, 80, 70, 80, 80, 80, 85, 80, 95, 60, 80, 55, 70, 45, 90, 70, 70, 70, 80, 70, 50, 75, 60, 85, 50, 75, 70, 85, 70, 65, 90, 80, 55, 70, 85, 60, 70, 70, 90, 75, 30, 90, 65, 75, 90, 85, 80, 40, 55, 55, 65, 80, 90, 75, 95, 85, 85, 75, 85, 70, 80, 100, 75, 65, 60, 65, 75, 60, 70, 70, 60, 75, 75, 65, 65, 60, 75, 70, 75, 75, 85, 65, 45, 85, 45, 90, 65, 95]"
8,2021-03-22 00:00:00,"[65, 75, 90, 75, 90, 75, 90, 75, 85, 20, 95, 80, 75, 75, 80, 80, 75, 85, 75, 75, 75, 70, 55, 55, 85, 70, 85, 90, 85, 80, 75, 70, 75, 75, 85, 60, 85, 70, 60, 70, 90, 80, 90, 75, 90, 85, 85, 85, 60, 85, 80, 85, 80, 80, 55, 85, 85, 60, 75, 65, 75, 85, 95, 75, 85, 85, 80, 80, 75, 80, 90, 70, 50, 70, 90, 85, 80, 75, 70, 65, 85, 65, 65, 55, 65, 55, 70, 75, 45, 80, 65, 65, 85, 90, 40, 65, 75, 80, 90, 60, 80, 80, 65, 80, 95, 80, 55, 85, 75, 65, 60, 70, 80, 75, 80, 70, 75, 80, 75, 75, 70, 70, 90, 55, 65, 70, 65, 70, 65, 70, 75, 55, 75, 85, 85, 50, 95, 55, 80, 80, 60, 70, 75, 80, 75, 90, 85, 60, 50, 65, 75, 45, 75, 95, 65, 35, 80, 65, 80, 60, 60, 100, 70, 75, 90, 50, 85, 45, 70, 70, 55, 75, 85, 70, 85, 40, 85, 85, 55, 65, 65, 80, 70, 60, 75, 70, 75, 90, 90]"
9,2021-03-21 00:00:00,"[85, 65, 70, 80, 90, 50, 90, 60, 95, 90, 85, 80, 70, 70, 80, 85, 65, 80, 65, 55, 95, 55, 90, 100, 80, 55, 70, 90, 75, 80, 95, 80, 95, 75, 95, 95, 70, 60, 75, 75, 85, 75, 80, 75, 70, 75, 75, 80, 85, 80, 80, 85, 85, 40, 90, 80, 90, 80, 60, 85, 85, 90, 80, 85, 90, 90, 80, 85, 50, 75, 70, 90, 80, 70, 85, 65, 75, 80, 80, 75, 90, 85, 75, 65, 65, 70, 75, 75, 80, 80, 95, 90, 90, 70, 85, 65, 80, 70, 90, 90, 80, 65, 85, 75, 90, 80, 65, 75, 95, 70, 70, 65, 55, 90, 70, 85, 70, 75, 85, 65, 70, 70, 85, 85, 70, 80, 55, 80, 65, 75, 85, 70, 85, 85, 95, 55, 80, 75, 95, 85, 55, 75, 85, 75, 70, 90, 75, 80, 80, 60, 70, 60, 85, 70, 65, 85, 90, 65, 80, 85, 65, 80, 85, 65, 80, 95, 55, 85, 85, 95, 75, 35, 70, 70, 75, 70, 70, 50, 60, 65, 60, 55, 60, 60, 70, 90, 85, 85, 80, 40, 95, 65, 65, 60]"
