,DÁTUM,5,25,45,65,85,105
0,2021-03-30 00:00:00,0.0,0.0,2.1491687910603173e-06,2.1425835808463742e-05,0.00010824441095974661,0.0002677993587693132
1,2021-03-29 00:00:00,0.0,0.0,2.865558388080423e-06,1.8365002121540348e-05,7.072788216119807e-05,0.0001338996793846566
2,2021-03-28 00:00:00,0.0,0.0,2.865558388080423e-06,1.645198106721323e-05,8.302838340662382e-05,0.00025292161661546244
3,2021-03-27 00:00:00,0.0,0.0,2.1491687910603173e-06,2.6782294760579675e-05,9.163873427842184e-05,0.00020828839015391023
4,2021-03-26 00:00:00,0.0,0.0,2.5073635895703703e-06,2.1043231597598316e-05,0.00010824441095974661,0.00027523822984623853
5,2021-03-25 00:00:00,0.0,0.0,5.0147271791407405e-06,2.219104423019459e-05,9.90190350256773e-05,0.00029011597200008927
6,2021-03-24 00:00:00,0.0,0.0,2.1491687910603173e-06,1.9895418965002047e-05,9.532888465204957e-05,0.0002677993587693132
7,2021-03-23 00:00:00,0.0,4.7516999206466113e-07,2.5073635895703703e-06,1.6834585278078652e-05,9.778898490113472e-05,0.00030499371415394
8,2021-03-22 00:00:00,0.0,4.7516999206466113e-07,2.1491687910603173e-06,1.721718948894408e-05,7.072788216119807e-05,0.00016365516369235805
9,2021-03-21 00:00:00,0.0,0.0,1.0745843955301586e-06,1.5686772645482383e-05,7.072788216119807e-05,0.0002603604876923878
10,2021-03-20 00:00:00,0.0,4.7516999206466113e-07,2.865558388080423e-06,1.6834585278078652e-05,8.733355884252283e-05,0.0002380438744616117
11,2021-03-19 00:00:00,0.0,0.0,1.0745843955301586e-06,1.951281475413662e-05,8.118330821980996e-05,0.0002008495190769849
12,2021-03-18 00:00:00,0.0,0.0,2.1491687910603173e-06,1.8747606332405774e-05,7.441803253482579e-05,0.00023060500338468635
13,2021-03-17 00:00:00,0.0,0.0,1.0745843955301586e-06,1.5304168434616956e-05,7.810818290845352e-05,0.00018597177692313414
14,2021-03-16 00:00:00,0.0,0.0,3.581947985100529e-07,1.1860730536828142e-05,5.4737230542144594e-05,0.00016365516369235805
15,2021-03-15 00:00:00,0.0,0.0,7.163895970201058e-07,1.0712917904231871e-05,5.1047080168516866e-05,0.0001338996793846566
16,2021-03-14 00:00:00,0.0,0.0,1.0745843955301586e-06,1.4921564223751533e-05,6.027245610258618e-05,0.00016365516369235805
17,2021-03-13 00:00:00,0.0,0.0,2.1491687910603173e-06,1.5686772645482383e-05,5.6582305728958454e-05,0.00017853290584620877
18,2021-03-12 00:00:00,0.0,4.7516999206466113e-07,1.0745843955301586e-06,1.1478126325962719e-05,4.7356929794889145e-05,0.00014133855046158196
19,2021-03-11 00:00:00,0.0,0.0,1.4327791940402116e-06,1.1478126325962719e-05,6.949783203665549e-05,0.00018597177692313414
20,2021-03-10 00:00:00,0.0,0.0,1.4327791940402116e-06,1.6069376856347806e-05,6.580768166302777e-05,0.00019341064800005952
21,2021-03-09 00:00:00,0.0,0.0,1.7909739925502646e-06,1.262593895855899e-05,5.3507180417602015e-05,0.0002454827455385371
22,2021-03-08 00:00:00,0.0,0.0,1.0745843955301586e-06,8.034688428173903e-06,4.1821704234447557e-05,0.00017109403476928343
23,2021-03-07 00:00:00,0.0,0.0,3.581947985100529e-07,7.269480006443055e-06,4.305175435899013e-05,0.0001338996793846566
24,2021-03-06 00:00:00,0.0,0.0,1.0745843955301586e-06,1.2243334747693567e-05,5.2892155355330726e-05,0.00018597177692313414
25,2021-03-05 00:00:00,0.0,0.0,3.581947985100529e-07,1.0712917904231871e-05,5.535225560441588e-05,0.00017853290584620877
26,2021-03-04 00:00:00,0.0,0.0,1.0745843955301586e-06,1.3008543169424415e-05,5.4122205479873305e-05,0.0002008495190769849
27,2021-03-03 00:00:00,0.0,0.0,7.163895970201058e-07,1.0712917904231871e-05,4.6741904732617856e-05,0.00022316613230776098
