Dátum,Regisztrált esetek száma,Új esetek száma,elhunytak,gyógyultak,Mintavétel száma,Egymillió lakosra elvégzett tesztek száma,Kórházi karanténba zártak száma,Regisztrált esetek százalékos változása az előző naphoz viszonyítva,Pozitív tesztek aránya,A mintavételek számának százalékos változása az előző naphoz képest,Aktív fertőzöttek száma,Elhunytak aránya Magyarországon,Gyógyultak aránya Magyarországon,Hatósági házi karantén,Új mintavételek száma,Új esetek aránya az új mintavételekhez képest,Az új elhunytak száma naponta,Új gyógyultak naponta,Kórházi ápoltak száma,Lélegeztetőgépen lévők száma,Aktív esetek/összes eset,Kórházi ápoltak számának változása az előző naphoz képest,Lélegeztetőgépen lévők számának változása az előző naphoz képest,Kórházi ápoltak aránya az aktív eseteken belül,Lélegeztetőgépen lévők aránya a kórházi ápoltakon belül,Növekedési faktor,Hétnapos mozgóátlag,Hétnapos csúszóátlag,Hétnapos csúszóátlag,Hétnapos csúszóátlag,Hétnapos csúszóátlag,Beoltottak száma Magyarországon,Új beoltottak száma Magyarországon,Hátnapos csúszóátlag,Második oltás,Második oltás napi,Hétnapos csúszóátlag
2020-03-04,2,2,,,230,,21,,"0,87%",,2,,,,,,,,,,"100,00%",,,,,,,,,,,,,,,,
2020-03-05,4,2,,,230,,40,,"1,74%",,4,,,,0,,,,,,"100,00%",0,0,,,,,,,,,,,,,,
2020-03-06,4,0,,,269,27,39,,"1,49%","17,0%",4,,,,39,,,,,,"100,00%",0,0,,,,,,,,,,,,,,
2020-03-07,5,1,,,319,33,48,"25,00%","1,57%","18,6%",5,,,,50,"2,00%",,,,,"100,00%",0,0,,,,,,,,,,,,,,
2020-03-08,7,2,,,362,37,67,"40,00%","1,93%","13,5%",7,,,,43,"4,65%",,,,,"100,00%",0,0,,,,,,,,,,,,,,
2020-03-09,9,2,,,362,37,67,"28,57%","2,49%",,9,,,,0,,,,,,"100,00%",0,0,,,,,,,,,,,,,,
2020-03-10,12,3,,,531,54,53,"33,33%","2,26%","46,7%",12,,,,169,"1,78%",,,,,"100,00%",0,0,,,,,"1,71428571",,"43,00000000",,,,,,,
2020-03-11,13,1,,,609,62,69,"8,33%","2,13%","14,7%",13,,,,78,"1,28%",,,,,"100,00%",0,0,,,,,"1,57142857",,"54,14285714",,,,,,,
2020-03-12,16,3,,,730,74,65,"23,08%","2,19%","19,9%",16,,,,121,"2,48%",,,,,"100,00%",0,0,,,,,"1,71428571",,"71,42857143",,,,,,,
2020-03-13,19,3,,1,858,88,79,"18,75%","2,21%","17,5%",18,,"5,26%",,128,"2,34%",,1,,,"94,74%",0,0,,,,,"2,14285714",,"84,14285714","2,08%",,,,,,
2020-03-14,30,11,,1,1014,103,79,"57,89%","2,96%","18,2%",29,,"3,33%",,156,"7,05%",,0,,,"96,67%",0,0,,,,,"3,57142857",,"99,28571429","2,80%",,,,,,
